name	supplier	company
Altcourse	FAZAKERLEY PRISON SERVICES LIMITED	02984969
Ashfield	PUCKLECHURCH CUSTODIAL SERVICES LIMITED	03403669
Bronzefield	ASHFORD PRISON SERVICES LIMITED	04334205
Doncaster	SERCO LIMITED	00242246
Dovegate	MORETON PRISON SERVICES LIMITED	03471077
Forest Bank	AGECROFT PRISON MANAGEMENT LIMITED	03509050
G4S Birmingham	G4S CARE AND JUSTICE SERVICES (UK) LIMITED	00390328
Lowdham Grange	LOWDHAM GRANGE PRISON SERVICES LIMITED	03154430
Oakwood	G4S CARE AND JUSTICE SERVICES (UK) LIMITED	00390328
Parc	BRIDGEND CUSTODIAL SERVICES LIMITED	03045222
Peterborough	PETERBOROUGH PRISON MANAGEMENT LIMITED	04350276
Rye Hill	ONLEY PRISON SERVICES LIMITED	03682678
Sodexo Northumberland	SODEXO LIMITED	00842846
Thameside	BWP PROJECT SERVICES LIMITED	07279250
