address	prison	name	name_cy
38076557	AC	HM PRISON ALTCOURSE	
640757	AS	HMP AND YOI ASHFIELD	
100052211414	AG	HM PRISON ASKHAM GRANGE	
766259071	AY	H M YOUTH CUSTODY CENTRE	
100081206238	BF	H M PRISON	
100023266926	BA	1/HM PRISON BELMARSH	
100071434380	BM	H M PRISON BIRMINGHAM	
10000064793	BH	BLANTYRE HOUSE	
200004529143	BS	HMYOI BRINSFORD	
221691	BL	H M PRISON	
200000487964	BX	H M PRISON BRIXTON	
33043320	BZ	HM PRISON BRONZEFIELD	
23107795	BC	HM PRISON BUCKLEY HALL	
100120801929	BN	HM PRISON BULLINGDON	
10023452387	BR	H M PRISON BURE	
200002933741	CF	H M PRISON	
10032952569	CW	HER MAJESTYS PRISON CHANNINGS WOOD	
200004625000	CD	HM PRISON	
200001339117	CL	H M PRISON COLDINGLEY	
100062374701	CK	COOKHAM WOOD HM YOUNG OFFENDERS INSTITUTION	
10001330266	DA	HM PRISON DARTMOOR	
10070413833	DT	DEERBOLT	
100052207601	DN	HMP DONCASTER	
10008039764	DG	HM PRISON DOVEGATE	
68136669	DW	HMP DOWNVIEW	
10002088530	DH	HMYOI DRAKE HALL	
200001338985	DM	HM PRISON DURHAM	
10022897161	ES	HM PRISON	
582216	EW	EASTWOOD PARK WOMANS PRISON	
10000177465	EE	H M PRISON ERLESTOKE	
100041142520	EX	HM PRISON EXETER	
100032229278	FS	1/HM PRISON FEATHERSTONE	
100023398319	FM	HM YOUNG OFFENDERS INSTITUTE	
200002714169	FD	H M FORD OPEN PRISON	
100012692516	FB	H M P FOREST BANK PRISON	
10000819194	FH	DETENTION CENTRE FOSTON HALL	
10001009852	FK	HM PRISON FRANKLAND	
200000641988	FN	HM PRISON FULL SUTTON	
200004064874	GH	HM PRISON GARTH	
100030489952	GT	H M PRISON	
10010147357	GP	HM YOUNG OFFENDERS INSTITUTE GLEN PARVA	
766293688	GN	HM PRISON GRENDON	
10013217671	GM	HM YOUNG OFFENDERS INSTITUTION	
100050785306	HD	H M MOORLAND OPEN PRISON AND YOI	
100110755872	HV	H M PRISON	
100121267009	HE	HM PRISON BLAKENHURST	
100062499824	HO	HMP HIGH DOWN	
10010693330	HP	HMP HIGHPOINT SOUTH	
100012815264	HI	HM PRISON HINDLEY	
10008620964	HB	HOLLESLEY BAY	
100110796240	HH	HM PRISON HOLME HOUSE	
21138448	HL	HM PRISON HULL	
200000644367	HM	HMP HUMBER	
100121308432	HC	H M YOUNG OFFENDERS INSTITUTION	
10003332444	IW	55/HMP ISLE OF WIGHT ALBANY	
100012390917	KM	KIRKHAM PRISON	
100110778426	KV	HM DETENTION CENTRE	
200001339049	LF	HM YOUNG OFFENDERS INSTITUTION LANCASTER FARMS	
72079826	LE	HM PRISON LEEDS	
2465057785	LC	116/H M PRISON	
100062273779	LW	1/HMP LEWES	
582486	LY	H M PRISON LEYHILL	
235033467	LI	H M PRISON	
10006712272	LH	HMP PRISON LINDHOLME	
10000161141	LT	LITTLEHEY PRISON	
38079136	LP	68/H M PRISON	
10013943723	LL	HMP LONG LARTIN	
100110739224	LN	LOW NEWTON REMAND CENTRE	
10008170171	LG	HMP LOWDHAM GRANGE	
200003717305	MS	HM PRISON MAIDSTONE	
100051984633	MD	HMP AND YOI MOORLAND	
10006531346	MH	MORTON HALL IMMIGRATION REMOVAL CENTRE	
63141057	NH	H M PRISON AND YOUNG OFFENDER INSTITUTION	
100032166609	NS	H M PRISON	
10024651947	NL	HMP NORTHUMBERLAND	
10009434824	NW	H M PRISON	
200001412499	NM	H M PRISON	
10090090220	OW	HMP OAKWOOD	
28013722	ON	HMYOI ONLEY	
200002656535	PR	HMP & YOI PARC	
5300014341	PV	PENTONVILLE PRISON	
10008051379	PB	HMP PETERBOROUGH	
10070567623	PD	HM YOI	
100012746893	PN	PRESTON PRISON	
100012381987	RS	HM PRISON RISLEY	
44010823	RC	HMP BORSTAL	
28042679	RH	HMP RYE HILL	
10007066161	SD	H M DETENTION CENTRE	
100062087837	EY	HM PRISON ELMLEY	
200002533135	EH	HM PRISON STANDFORD HILL	
100062087838	SL	HM PRISON SWALESIDE	
200001335547	SF	54/H M PRISON STAFFORD	
10008626900	SK	HMP STOCKEN	
10013133936	SH	H.M. YOUNG OFFENDERS INSTITUTION	
100012881776	ST	STYAL PRISON	
10070076922	SU	H M PRISON SUDBURY	
100100986762	SW	H M PRISON SWANSEA	H M PRISON SWANSEA
10013212207	SN	HM YOUNG OFFENDERS INSTITUTE SWINFEN HALL	
10010227695	TS	HMP THAMESIDE	
200004050582	MT	THE MOUNT HMP	
200000978972	TC	HMYOI THORN CROSS	
200000955803	UK	47/DETENTION CENTRE	47/HER MAJESTYS PRISON USK
10070565745	VE	H M PRISON	
63131104	WD	5/HM PRISON	
121050999	WW	HER MAJESTY PRISON WANDSWORTH	
10008620969	WI	HM YOUTH CUSTODY CENTRE	
10011970324	WL	H M PRISON	
72384891	WE	HM PRISON WEALSTUN	
200001581565	WN	HM YOUNG OFFENDERS INSTITUTE	
72555064	WY	H M YOUNG OFFENDERS INSTITUTION	
3040053432	WT	HM PRISON WHATTON	
100091516265	WR	300-310/H M PRISON WHITEMOOR	
100062015988	WC	H M PRISON	
25006001	WH	HM PRISON	
34020469	WS	H M PRISON WORMWOOD SCRUBS	
200004064883	WM	HM PRISON WYMOTT	
100062374701	MW	COOKHAM WOOD HM YOUNG OFFENDERS INSTITUTION	
2920005642	AK	HMP ACKLINGTON	
10003332444	AL	55/HMP ISLE OF WIGHT ALBANY	
100030715098	AW	HM PRISON ASHWELL	
100121267009	BT	HM PRISON BLAKENHURST	
100091568382	BD	FORMER H M PRISON BLUNDESTON	
100120586678	BK	HM PRISON BROCKHILL	
200000266767	BU	BULLWOOD HALL PRISON	
10003316343	CH	HMP ISLE OF WIGHT CAMP HILL	
2920009030	CS	HMP CASTINGTON	
10034883299	DV	DOVER IMMIGRATION REMOVAL CENTRE	
10023127022	NE	HM PRISON EDMUND HILL	
200000644359	EV	HMP HUMBER	
200004486808	GL	FORMER HM PRISON	
37032487	HR	2/IMMIGRATION REMOVAL CENTRE	
5300071065	HY	HM PRISON HOLLOWAY	
41218084	KT	HMP KENNET	
1775056170	PT	HM KINGSTON PRISON	
100050366776	NN	H M PRISON NORTHALLERTON	
10003332443	PK	HMP ISLE OF WIGHT PARKHURST	
250022303	SM	H M PRISON	
100071531042	SY	FORMER PRISON	
10070569459	WA	HMP THE WEARE	
10023681392	WB	H M PRISON	
